input	output
Abbotsford Regional Hospital and Cancer Centre Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue Surrey BC  V3T 0H1	Abbotsford Regional Hospital and Cancer Centre
Cormorant Island Community Health Centre Vancouver Island Health Authority 1952 Bay Street Victoria, BC, V8R 1J8	Cormorant Island Community Health Centre
Ashcroft and District General Hospital Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	Ashcroft and District General Hospital
R.W. Large Memorial Hospital Vancouver Coastal Health Authority 11th Floor – 601 W. Broadway Vancouver BC  V6Z 1Y6	R.W. Large Memorial Hospital
Bella Coola General Hospital Vancouver Coastal Health Authority 11th Floor – 601 W. Broadway Vancouver BC  V6Z 1Y6	Bella Coola General Hospital
Burnaby Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue Surrey BC  V3T 0H1	Burnaby Hospital
Lakes District Hospital and Health Centre Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8	Lakes District Hospital and Health Centre
North Island Hospital, Campbell River & District Vancouver Island Health Authority 1952 Bay Street Victoria BC  V8R 1J8	North Island Hospital
Castlegar and District Community Health Centre Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	Castlegar and District Community Health Centre
Chemainus Health Care Centre Vancouver Island Health Authority 1952 Bay Street Victoria BC  V8R 1J8	Chemainus Health Care Centre
Chetwynd General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8	Chetwynd General Hospital
Chilliwack General Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue Surrey BC  V3T 0H1	Chilliwack General Hospital
Dr. Helmcken Memorial Hospital Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	Dr. Helmcken Memorial Hospital
St. Joseph’s General Hospital Jane Murphy Chief Executive Officer	St. Joseph’s General Hospital
North Island Hospital, Comox Valley Vancouver Island Health Authority, 1952 Bay Street Victoria BC  V8R 1J8	North Island Hospital
East Kootenay Regional Hospital Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	East Kootenay Regional Hospital
Creston Valley Hospital Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	Creston Valley Hospital
Dawson Creek and District Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8	Dawson Creek and District Hospital
Delta Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue Surrey BC  V3T 0H1	Delta Hospital
Cowichan District Hospital Vancouver Island Health Authority 1952 Bay Street Victoria BC  V8R 1J8	Cowichan District Hospital
Elk Valley Hospital Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	Elk Valley Hospital
Fort Nelson General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8	Fort Nelson General Hospital
Stuart Lake Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8	Stuart Lake Hospital
Fort St. John General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8	Fort St. John General Hospital
Golden and District General Hospital Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	Golden and District General Hospital
Boundary Hospital Interior Health Authority Community Health and Services Centre 5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8	Boundary Hospital
Wrinch Memorial Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8	Wrinch Memorial Hospital
